epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4517.58,1.0321,0.78335,0.96396,0.81602,1,0.94786,0.83431,0.58782,10.935,1.26151,0.000449882,0.000449882,0.000449882
61,4589.92,1.06559,0.75715,0.9764,0.83723,1,0.97214,0.77323,0.66241,6.43822,1.41195,0.000429253,0.000429253,0.000429253
62,4656.6,1.05065,0.72621,0.96955,0.8417,1,0.94786,0.79133,0.53536,5.93485,1.22112,0.000408623,0.000408623,0.000408623
63,4725.17,1.0685,0.76765,0.98937,0.84698,1,0.94786,0.81165,0.44414,6.01773,1.1368,0.000387994,0.000387994,0.000387994
64,4796.76,1.05578,0.72503,0.95838,0.84757,1,0.92357,0.79909,0.43851,7.08507,1.09068,0.000367365,0.000367365,0.000367365
65,4866.86,1.04807,0.73151,0.95743,0.841,1,0.92357,0.80493,0.42623,7.116,1.0717,0.000346736,0.000346736,0.000346736
66,4935.6,0.9986,0.69332,0.94644,0.83991,1,0.94786,0.84842,0.33104,7.26787,1.00169,0.000326107,0.000326107,0.000326107
67,5002.98,1.02833,0.71799,0.95862,0.84275,1,0.90071,0.80961,0.34593,6.97305,0.97649,0.000305478,0.000305478,0.000305478
68,5067.55,1.01962,0.71961,0.96955,0.84351,1,0.87643,0.75523,0.47286,7.1027,1.08348,0.000284849,0.000284849,0.000284849
69,5133.22,1.02882,0.73428,0.98849,0.84218,1,0.90071,0.74831,0.50081,5.99416,1.12764,0.00026422,0.00026422,0.00026422
70,5202.38,0.98278,0.71962,0.96259,0.83132,1,0.90071,0.75763,0.5344,5.38592,1.15813,0.00024359,0.00024359,0.00024359
71,5266.83,1.05026,0.76879,0.95401,0.82528,1,0.94786,0.81404,0.6636,5.38995,1.38119,0.000222961,0.000222961,0.000222961
72,5328.59,1.05846,0.76265,0.94615,0.84394,1,0.94786,0.80575,0.66903,7.06896,1.45532,0.000202332,0.000202332,0.000202332
73,5391.18,1.05074,0.74936,0.96022,0.85082,1,0.92357,0.77084,0.65754,8.48621,1.47793,0.000181703,0.000181703,0.000181703
74,5452.76,1.02264,0.75229,0.95373,0.85019,1,0.94786,0.81398,0.58263,5.56937,1.30539,0.000161074,0.000161074,0.000161074
75,5516.75,0.99615,0.74459,0.9522,0.85008,1,0.92357,0.80533,0.48855,9.20352,1.17761,0.000140445,0.000140445,0.000140445
76,5578.89,0.9918,0.70513,0.94452,0.84797,1,0.92357,0.8368,0.40453,6.25211,1.09245,0.000119816,0.000119816,0.000119816
77,5642.56,1.03336,0.73191,0.95641,0.84837,1,0.94786,0.85483,0.36238,4.51559,1.05768,9.91865e-05,9.91865e-05,9.91865e-05
78,5706.24,1.01602,0.73673,0.95313,0.84973,1,0.97214,0.91245,0.35115,5.07611,1.03337,7.85574e-05,7.85574e-05,7.85574e-05
79,5774.64,1.02312,0.72965,0.95295,0.8494,1,0.94786,0.83399,0.38085,6.12558,1.05785,5.79283e-05,5.79283e-05,5.79283e-05
80,5851.48,1.01554,0.69573,0.9445,0.8491,1,0.94786,0.82724,0.37627,6.3083,1.05391,3.72991e-05,3.72991e-05,3.72991e-05
